"","Score (t1)","OrthoScore (to1)"
"9412",-1.6111,-1.544
"4442",-2.7478,-0.8524
"9905",-1.995,-0.98027
"1562",-1.5599,1.1004
"4647",-2.0145,-1.4141
"8141",-2.2043,-2.9178
"6540",-2.5907,0.10406
"516",-2.0985,0.80215
"5860",-2.3332,2.5588
"8783",-2.0632,0.66831
"4516",-2.1801,2.475
"8593",3.203,-0.32474
"9041",3.2248,-3.362
"5852",3.3063,3.3627
"1604",3.5116,-0.038274
"499",3.3221,3.5819
"420",3.2461,-2.6237
"9091",3.5846,-0.59595
